Time,Object1Height,Object2Height,Object3Height
2.411264,1.779371,0.001,0.1860619
2.414595,1.779453,0.001,0.1853815
2.417355,1.779474,0.001,0.1852049
2.420022,1.779492,0.001,0.1850638
2.422634,1.779508,0.001,0.184932
2.425131,1.779523,0.001,0.184807
2.427835,1.779537,0.001,0.1846912
2.430519,1.779552,0.001,0.1845697
2.433077,1.779566,0.001,0.184453
2.435774,1.779579,0.001,0.1843453
2.438346,1.779592,0.001,0.1842354
2.440924,1.779605,0.001,0.1841339
2.443697,1.779617,0.001,0.1840354
2.446357,1.779629,0.001,0.1839327
2.449049,1.779641,0.001,0.1838376
2.451746,1.779652,0.001,0.1837444
2.454318,1.779663,0.001,0.183654
2.457055,1.779673,0.001,0.1835797
2.459784,1.779684,0.001,0.1835797
2.462431,1.779694,0.001,0.1835797
2.465182,1.779694,0.001,0.1835797
2.467905,1.779694,0.001,0.1835797
2.470411,1.779694,0.001,0.1835797
2.472911,1.779694,0.001,0.1835797
2.475459,1.779694,0.001,0.1835797
2.478095,1.779694,0.001,0.1835797
2.480783,1.779694,0.001,0.1835797
2.483421,1.779694,0.001,0.1835797
2.48638,1.779694,0.001,0.1835797
2.489072,1.779694,0.001,0.1835797
2.491625,1.779694,0.001,0.1835797
2.494253,1.779694,0.001,0.1835797
2.49681,1.779694,0.001,0.1835797
2.499413,1.779694,0.001,0.1835797
2.502069,1.779694,0.001,0.1835797
2.504839,1.779694,0.001,0.1835797
2.507433,1.779694,0.001,0.1835797
2.51016,1.779694,0.001,0.1835797
2.512831,1.779694,0.001,0.1835797
2.515507,1.779694,0.001,0.1835797
2.51814,1.779694,0.001,0.1835797
2.520766,1.779694,0.001,0.1835797
2.523423,1.779694,0.001,0.1835797
2.526032,1.779694,0.001,0.1835797
2.528633,1.779694,0.001,0.1835797
2.5313,1.779694,0.001,0.1835797
2.53399,1.779694,0.001,0.1835797
2.536758,1.779694,0.001,0.1835797
2.539322,1.779694,0.001,0.1835797
2.541867,1.779694,0.001,0.1835797
2.544693,1.779694,0.001,0.1835797
2.547416,1.779694,0.001,0.1835797
2.550051,1.779694,0.001,0.1835797
2.552747,1.779694,0.001,0.1835797
2.55543,1.779694,0.001,0.1835797
2.557932,1.779694,0.001,0.1835797
2.560597,1.779694,0.001,0.1835797
2.563257,1.779694,0.001,0.1835797
2.565869,1.779694,0.001,0.1835797
2.568506,1.779694,0.001,0.1835797
2.571029,1.779694,0.001,0.1835797
2.573664,1.779694,0.001,0.1835797
2.576411,1.779694,0.001,0.1835797
2.579029,1.779694,0.001,0.1835797
2.581689,1.779694,0.001,0.1835797
2.584421,1.779694,0.001,0.1835797
2.592059,1.779694,0.001,0.1835797
2.595041,1.786744,0.007809712,0.1835797
2.597766,1.78699,0.008066368,0.1835797
2.600343,1.787223,0.008309203,0.1835797
2.603183,1.787449,0.008546532,0.1835797
2.605846,1.787706,0.008816919,0.1835797
2.608434,1.787954,0.009079148,0.1835797
2.611083,1.788202,0.009342313,0.1835797
2.613729,1.788464,0.009620508,0.1835797
2.616328,1.788733,0.009907581,0.1835797
2.618981,1.789004,0.01019869,0.1835797
2.621548,1.789289,0.01050558,0.1835797
2.624218,1.789573,0.01081226,0.1835797
2.62693,1.789876,0.01114155,0.1835797
2.629545,1.790193,0.01148723,0.1835797
2.632247,1.790508,0.01183147,0.1835797
2.634925,1.790842,0.01219895,0.1835797
2.637554,1.791183,0.01257523,0.1835797
2.640233,1.791527,0.01295683,0.1835797
2.643017,1.791888,0.01335846,0.1835797
2.645626,1.792273,0.01378989,0.1835797
2.648349,1.792644,0.01420759,0.1835797
2.656491,1.793042,0.01465807,0.1835797
2.659623,1.794301,0.01609656,0.1835797
2.662344,1.794814,0.01668887,0.1835797
2.665207,1.795272,0.01722177,0.1835797
2.66786,1.795768,0.01780167,0.1835797
2.670553,1.79624,0.01835731,0.1835797
